headline,sentiment,date
"Gold surges to record highs amid geopolitical tension",positive,2020-08-01
"Gold plummets as Fed announces rate hike",negative,2022-03-15
"Investors flock to safe-haven assets",positive,2020-03-20
"Gold prices remain stable despite market volatility",neutral,2021-06-10
"Mining output decreases, supply shock feared",positive,2021-09-01
"Jewelry demand drops in India",negative,2020-11-01
"Central banks increase gold reserves",positive,2019-10-01
"Dollar strengthens, weighing on bullion",negative,2022-05-01
"Inflation fears drive gold rally",positive,2022-01-15
"Gold futures slide on profit taking",negative,2021-12-01
